be convenient for;/bi/ /kənˈviniənt/ /fɔr/;方便的;;Mobile phones are convenient for capturing special moments.,用手机拍摄特别瞬间非常的方便。
avenue;/ˈævənuː/;n. 林荫道，道路，大街;a path or driveway that leads to a house located off a main road;The avenue is lined with lush green trees.,道路两旁，绿树成荫。
even if/though;/ˈiv(ə)n/ /ɪf/ /ðoʊ/;虽然，即使;;Even though it is raining, the little girl wants to play outside.,尽管在下雨，但是小女孩还是想去外面玩。
effectiveness;/ɪˈfektɪvnəs/;n. 有效性，效果，效力;power to be effective; the quality of being able to bring about an effect;The effectiveness of her weight loss plan was obvious.,她的减肥计划是有效的。
eleven;/ɪˈlevn/;num. 十一，十一个;11;My favorite number is eleven.,我最喜欢的数字是11。
convention centre;;会议中心;;My company decided to hold the press conference in this fancy convention centre.,我们公司决定在这个华丽的会议中心举行新闻发布会。
circumvent;/ˌsɜːrkəmˈvent/;v. 用计避免，规避;to avoid being stopped by (something, such as a law or rule) :to get around (something) in a clever and sometimes dishonest way;He went west in order to circumvent the mountains.,他往西走是为了绕开山脉。
convene;/kənˈviːn/;v. 集合，召集，召唤;to come together in a group for a meeting;We convened at the coffee shop.,我们在咖啡店集合。
inconvenient;/ˌɪnkənˈviːniənt/;adj. 不便的，打扰的;not convenient; causing trouble or problems;The man received a call at an inconvenient time.,这电话来得不是时候。
scavenge;/ˈskævɪndʒ/;v. （在废物中）寻觅，（动物）食腐肉，打扫，排除废气;to search for food to eat;Sometimes, it's possible to scavenge some nice old furniture from a scrap heap.,有时候你可以在垃圾堆里捡到一些挺好的家具。
prevention;/prɪˈvenʃn/;n. 预防，防止;the act or practice of stopping something bad from happening :the act of preventing something;Washing your hands is an important part of disease prevention.,洗手是预防疾病的重要步骤。
revenge;/rɪˈvendʒ/;n. 报复，报仇；  vt. 为…报仇，报…之仇;;I will get my revenge.,我是有仇必报的狗狗。
maven;/'meɪvn/;n. <口语>专家，行家;an expert on sth;She told us she's a wine maven, and that she's an expert in the field.,她跟我们说她是红酒行家，并且是那个领域的佼佼者。
convention;/kənˈvenʃn/;n. 会议；习俗；惯例;a large meeting of people who come to a place for usually several days to talk about their shared work or other interests or to make decisions as a group;We met at a convention to talk about our different businesses.,我们在一场会议中见面并讨论了我们所做的不同事务。
veneration;/ˌvenəˈreɪʃn/;n. 尊重，崇敬; a profound emotion inspired by a deity;They crowded around him in veneration.,他们因为崇拜而围绕着他。
venom;/ˈvenəm/;n. 毒液，恶意，怨恨；  vt. 使有毒，放毒;poison that is produced by an animal (such as a snake) and used to kill or injure another animal usually through biting or stinging;Snake venom is a poison but it can also be used to make medicine.,蛇毒是种毒药，但也可以用来制药。
conventionally;/kənˈvenʃənəli/;adv. 照惯例，照常套; in a conventional manner;Conventionally, our senior sales staff wear suits.,照惯例来说，我们的高级销售人员要穿正装。
field event;/ˈfiːld ɪvent/;n. 【体】田赛;;The javelin is a popular field event.,标枪投掷是项受欢迎的田赛运动。
venturesome;/ˈventʃərsəm/;adj. 好冒险的，大胆的，危险的;willing to take risks;The man is quite venturesome; he loves to go rock-climbing and exploring.,这个男人非常爱冒险，他爱攀岩和探险。
uneven;/ʌnˈiːvn/;adj. 不平坦的，不均匀的，不规则的，不公正的;not level, flat, or smooth;The stones are piled in an uneven way.,那些石头被错落有致地堆放着。
inventory;/ˈɪnvəntɔːri/;n. 详细目录，存货清单;a complete list of the things that are in a place;"Let me check if we have it in our inventory.",我查查我们的存货清单里有没有这个东西。
rejuvenate;/rɪˈdʒuːvəneɪt/;vt. 使恢复活力，使恢复青春，使返老还童；  vi. 返老还童，恢复活力，复原;to make (someone) feel or look young, healthy, or energetic again;I rejuvenated the flower by giving it enough water and sunshine.,我给花提供了充足的水和阳光，让它又重新恢复了生机。
leaven;/ˈlevn/;n. 发酵剂，影响力；  v. 发酵，影响，渐变;to add leaven to (bread, dough, etc.);We leavened the bread to make it rise.,我们发酵了面包使其蓬松。
craven;/ˈkreɪvn/;adj. 懦弱的，畏缩的;having or showing a complete lack of courage :very cowardly;He's so craven, even a small insect can cause him to start screaming.,他非常懦弱，即使一只小昆虫也能让他大叫。
prevent from;/prɪˈvent/ /frɒm/;阻止，制止;;This high fence prevents thieves from getting in.,这个高篱笆能防止小偷进入。
solvency;/ˈsɑːlvənsi/;n. 偿付能力，溶解力;the state of being able to pay debts;The company finally has the solvency to pay the money they owe to the bank.,公司终于有还欠银行钱的偿付能力了。
convenient;/kənˈviːniənt/;adj. 方便的，便利的;allowing you to do something easily or without trouble;It's so convenient! You can buy things here at any time.,太方便啦！你随时可以在这儿买东西。
