defend against;/dɪˈfend/ /əˈɡenst/;保卫……以免受;;These walls will defend our people against all their enemies.,这些城墙将保卫我们的人民不受任何敌人侵害。
tendency;/ˈtendənsi/;n. 趋向，趋势，倾向，意向，癖好;an inclination of something or to do something;There is an increasing tendency for us to make sales.,我们的销量有增长的趋势。
comprehend;/ˌkɑːmprɪˈhend/;v. 了解；领会；包含；由…组成;to understand (something, such as a difficult or complex subject);I like my teacher because she makes difficult ideas easier to comprehend.,我喜欢我的老师，因为她把复杂的概念变得简单易懂。
dependable;/dɪˈpendəbl/;adj. 可靠的，可信赖的;able to be trusted to do or provide what is needed :able to be depended on;My husband is so dependable - I count on him for everything.,我的丈夫很可靠—我什么都依靠他。
call for an end to sth;/kɔl fɔr ən ɛnd tu 'sʌmθɪŋ/;要求结束……;to demand that sth should end;He called for an end to the fight between them.,他要求他们停止吵架。
legendary;/ˈledʒənderi/;adj. 传说的，传奇的；  n. 传说集，圣徒传;told about in a legend;Dragons are legendary creatures in old stories.,在古老的故事里，龙是传奇的生物。
commend;/kəˈmend/;v. 称赞，推荐，委托保管;to praise (someone or something) in a serious and often public way;The worker was highly commended for his hard work.,这个员工因他的辛勤工作受到了表彰。
friendliness;/ˈfrendlinəs/;n. 善，友谊，友情，亲切，友善;a feeling of liking for another person; enjoyment in their company;Holidays bring out the friendliness in people.,假日让人们产生友情。
send for;;phr. 派人去请（拿），召唤;to request by message to come;"Go and send for a doctor!" the emperor cried.,“快去请太医！”皇上喊道。
portend;/pɔːrˈtend/;v. 预兆，预示;to be a sign or warning that something usually bad or unpleasant is going to happen;What does the future portend? My crystal ball will tell you!,对未来的预测是什么？我的水晶球会告诉你！
blend;/blend/;v. 混合；把…混成一体；  n. 混合物;to mix things thoroughly and usually with good results;Blend the flour and the water with a spoon.,用勺子把面粉和水混到一起。
make friends with;;与……交朋友;be friends with sb;I love to make friends with new people!,我喜欢和陌生人交朋友。
interdependent;/ˌɪntərdɪˈpendənt/;adj. 互相依赖的，互相依存的;related in such a way that each needs or depends on the other :mutually dependent;The gears have to be interdependent in order to work well.,齿轮需要相互依赖才能更好的运作。
endorse;/ɪnˈdɔːrs/;v. 赞同，认可，签注（文件）;to write your name on the back of (a check);He endorsed the check with his signature.,他在支票上签署了自己的名字。
put an end to;/pʊt/ /ən/ /end/ /tu/;v. 停止，消灭;kill en masse; kill on a large scale; kill many;The new spray puts an end to ants and other bugs.,这瓶新型喷雾剂消灭了所有的蚊虫。
flight attendant;;空中服务员;flight attendant=a person whose job is to serve and take care of passengers on an aircraft.;I'm a flight attendant, which means I work on airplanes.,我是一名空中服务员，这意味着我在飞机上工作。
eco-friendly;/ˌiːkoʊ ˈfrendli/;adj. 对生态环境友好的，不妨害生态环境的;friendly to the ecological environment;Solar energy is an eco-friendly power source.,太阳能是一种对环境友好的能源。
defender;/dɪˈfendər/;n. 防卫者，拥护者，辩护者，【运动】卫冕者; a fighter who holds out against attack;He is a staunch defender of his motherland.,他是祖国坚定的防卫者。
apprehend;/ˌæprɪˈhend/;vi. 理解，忧虑；  vt. 逮捕，领会，对…忧虑，把…视作;to notice and understand (something);The driver was finally apprehended by the police for speeding.,那名驾驶员最终因超速而被警察逮捕了。
environmentally friendly;;环境友好型的;(of products) not harming the environment;The carrier bag made from paper is environmentally friendly.,这个纸做的环保袋是环境友好型的。
endangered;/ɪnˈdeɪndʒərd/;adj. （生命等）有危险的，有灭绝危险的，将要灭绝的;used to describe a type of animal or plant that has become very rare and that could die out completely;The white tiger is a rare and endangered species.,白虎是稀有濒危物种。
attend a workshop;;参加研讨会;;Tomorrow I will attend a workshop concerning the development of online industries.,我明天将参加一个关于互联网产业发展的研讨会。
calendar;/ˈkælɪndər/;n. 日历；时间表；历法;a page or series of pages that shows the days, weeks, and months of a year;The month is over, so it's time to flip to the next month on the calendar.,这个月结束了，是时候翻到日历的下一个月了。
offend;/əˈfend/;v. 冒犯，得罪，伤害…的感情;to cause (a person or group) to feel hurt, angry, or upset by something said or done;His bad behavior really offended the woman.,他的不良举动确实冒犯了这个女人。
slender;/ˈslendər/;adj. 苗条的，修长的，纤细的，微薄的;(of people or their bodies) thin in an attractive or elegant way;Ever since you started exercising, you've become so much more slender!,自从你开始运动，你就变得苗条多了。
weekend;/ˈwiːkend/;n. 周末，周末休假；  adj. 周末的；  v. 度周末;a trip or vacation that is taken on Saturday and Sunday;The couple is enjoying a camping weekend with their friends.,这对情侣在和朋友一起享受周末露营。
friendly;/ˈfrendli/;adj. 友好的，友谊的;having or showing the feelings that friends have for each other;Tom and his buddy are very friendly with each other.,汤姆和他的伙计互相很友好。
expend;/ɪkˈspend/;v. 消费，用尽;to use or spend (something); They expend too much on luxury goods.,他们在奢侈品上花费了太多钱。
impending;/ɪmˈpendɪŋ/;adj. 即将到来的，迫在眉睫的，紧急的;happening or likely to happen soon;Let's be careful of this impending wave!,小心即将打来的浪！
amendment;/əˈmendmənt/;n. 改善，改正;a change in the words or meaning of a law or document (such as a constitution);I made an amendment to my homework and corrected my mistake.,我对家庭作业做了些改正，修改了其中的错误。
